1.0 0:1 38290:1  58013:1.0  
0.0 4:1 62116:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 62608:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 63312:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 63377:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 63395:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 63518:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 64062:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 64371:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 64430:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 64614:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 64643:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 64767:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 4:1 65053:1  43351:0.242535625036 44525:0.242535625036 44998:0.242535625036 45296:0.242535625036 45609:0.242535625036 49468:0.242535625036 49854:0.242535625036 49466:0.242535625036 50910:0.242535625036 51721:0.242535625036 53249:0.242535625036 56512:0.242535625036 57303:0.242535625036 57832:0.242535625036 58101:0.242535625036 59495:0.242535625036 60526:0.242535625036  
0.0 5:1 46188:1  50581:1.0  
0.0 5:1 46216:1  50581:1.0  
0.0 5:1 46274:1  50581:1.0  
0.0 5:1 46389:1  50581:1.0  
0.0 5:1 46501:1  50581:1.0  
0.0 5:1 46658:1  50581:1.0  
0.0 5:1 46759:1  50581:1.0  
0.0 5:1 46822:1  50581:1.0  
0.0 5:1 46882:1  50581:1.0  
0.0 5:1 46926:1  50581:1.0  
0.0 5:1 46935:1  50581:1.0  
0.0 5:1 47002:1  50581:1.0  
0.0 5:1 47041:1  50581:1.0  
0.0 5:1 47059:1  50581:1.0  
0.0 5:1 47208:1  50581:1.0  
0.0 5:1 47246:1  50581:1.0  
0.0 5:1 47445:1  50581:1.0  
0.0 5:1 47500:1  50581:1.0  
0.0 5:1 47539:1  50581:1.0  
0.0 5:1 47544:1  50581:1.0  
0.0 5:1 47582:1  50581:1.0  
0.0 5:1 47675:1  50581:1.0  
0.0 5:1 47856:1  50581:1.0  
0.0 5:1 47961:1  50581:1.0  
0.0 5:1 47970:1  50581:1.0  
0.0 5:1 48095:1  50581:1.0  
0.0 5:1 48148:1  50581:1.0  
0.0 5:1 48178:1  50581:1.0  
0.0 5:1 48446:1  50581:1.0  
0.0 5:1 48449:1  50581:1.0  
0.0 5:1 48759:1  50581:1.0  
0.0 5:1 48843:1  50581:1.0  
0.0 5:1 49019:1  50581:1.0  
0.0 5:1 49039:1  50581:1.0  
0.0 5:1 49089:1  50581:1.0  
0.0 5:1 49092:1  50581:1.0  
0.0 5:1 49095:1  50581:1.0  
0.0 5:1 49146:1  50581:1.0  
0.0 5:1 49383:1  50581:1.0  
0.0 5:1 49516:1  50581:1.0  
0.0 5:1 49570:1  50581:1.0  
0.0 5:1 49624:1  50581:1.0  
0.0 5:1 49933:1  50581:1.0  
0.0 5:1 49973:1  50581:1.0  
0.0 5:1 49980:1  50581:1.0  
0.0 5:1 50002:1  50581:1.0  
0.0 5:1 50500:1  50581:1.0  
0.0 5:1 50561:1  50581:1.0  
0.0 5:1 50704:1  50581:1.0  
0.0 5:1 51345:1  50581:1.0  
0.0 5:1 51421:1  50581:1.0  
0.0 5:1 51458:1  50581:1.0  
0.0 5:1 51480:1  50581:1.0  
0.0 5:1 51548:1  50581:1.0  
0.0 5:1 51580:1  50581:1.0  
0.0 5:1 51661:1  50581:1.0  
0.0 5:1 51662:1  50581:1.0  
0.0 5:1 51730:1  50581:1.0  
0.0 5:1 51768:1  50581:1.0  
0.0 5:1 51981:1  50581:1.0  
0.0 5:1 52081:1  50581:1.0  
0.0 5:1 52132:1  50581:1.0  
0.0 5:1 52306:1  50581:1.0  
0.0 5:1 52519:1  50581:1.0  
0.0 5:1 52616:1  50581:1.0  
0.0 5:1 52618:1  50581:1.0  
0.0 5:1 53004:1  50581:1.0  
0.0 5:1 53104:1  50581:1.0  
0.0 5:1 53309:1  50581:1.0  
0.0 5:1 53334:1  50581:1.0  
0.0 5:1 53391:1  50581:1.0  
0.0 5:1 53715:1  50581:1.0  
0.0 5:1 53742:1  50581:1.0  
0.0 5:1 53909:1  50581:1.0  
0.0 5:1 53913:1  50581:1.0  
0.0 5:1 53957:1  50581:1.0  
0.0 5:1 54054:1  50581:1.0  
0.0 5:1 54060:1  50581:1.0  
0.0 5:1 54095:1  50581:1.0  
0.0 5:1 54105:1  50581:1.0  
0.0 5:1 54126:1  50581:1.0  
0.0 5:1 54131:1  50581:1.0  
0.0 5:1 54223:1  50581:1.0  
0.0 5:1 54397:1  50581:1.0  
0.0 5:1 54688:1  50581:1.0  
0.0 5:1 54871:1  50581:1.0  
0.0 5:1 55322:1  50581:1.0  
0.0 5:1 55453:1  50581:1.0  
0.0 5:1 55507:1  50581:1.0  
0.0 5:1 55635:1  50581:1.0  
0.0 5:1 56116:1  50581:1.0  
0.0 5:1 56353:1  50581:1.0  
0.0 5:1 56380:1  50581:1.0  
0.0 5:1 56399:1  50581:1.0  
0.0 5:1 56561:1  50581:1.0  
0.0 5:1 56634:1  50581:1.0  
0.0 5:1 57017:1  50581:1.0  
0.0 5:1 57070:1  50581:1.0  
0.0 5:1 57088:1  50581:1.0  
0.0 5:1 57258:1  50581:1.0  
0.0 5:1 57259:1  50581:1.0  
0.0 5:1 57319:1  50581:1.0  
0.0 5:1 57507:1  50581:1.0  
0.0 5:1 57543:1  50581:1.0  
0.0 5:1 57749:1  50581:1.0  
0.0 5:1 58035:1  50581:1.0  
0.0 5:1 58146:1  50581:1.0  
0.0 5:1 58228:1  50581:1.0  
0.0 5:1 58332:1  50581:1.0  
0.0 5:1 58366:1  50581:1.0  
0.0 5:1 58402:1  50581:1.0  
0.0 5:1 58403:1  50581:1.0  
0.0 5:1 58526:1  50581:1.0  
0.0 5:1 59002:1  50581:1.0  
0.0 5:1 59003:1  50581:1.0  
0.0 5:1 59367:1  50581:1.0  
0.0 5:1 59578:1  50581:1.0  
0.0 5:1 59662:1  50581:1.0  
0.0 5:1 59757:1  50581:1.0  
0.0 5:1 59852:1  50581:1.0  
0.0 5:1 59868:1  50581:1.0  
0.0 5:1 59999:1  50581:1.0  
0.0 5:1 60155:1  50581:1.0  
0.0 5:1 60244:1  50581:1.0  
0.0 5:1 60453:1  50581:1.0  
0.0 5:1 60473:1  50581:1.0  
0.0 5:1 60495:1  50581:1.0  
0.0 5:1 60531:1  50581:1.0  
0.0 5:1 60547:1  50581:1.0  
0.0 5:1 60573:1  50581:1.0  
0.0 5:1 60813:1  50581:1.0  
0.0 5:1 60814:1  50581:1.0  
0.0 5:1 60847:1  50581:1.0  
0.0 5:1 60932:1  50581:1.0  
0.0 5:1 60982:1  50581:1.0  
0.0 5:1 61145:1  50581:1.0  
0.0 5:1 61163:1  50581:1.0  
0.0 5:1 61251:1  50581:1.0  
0.0 5:1 61297:1  50581:1.0  
0.0 5:1 61354:1  50581:1.0  
0.0 5:1 61386:1  50581:1.0  
0.0 5:1 61462:1  50581:1.0  
0.0 5:1 61754:1  50581:1.0  
0.0 5:1 61879:1  50581:1.0  
0.0 5:1 61906:1  50581:1.0  
0.0 5:1 62116:1  50581:1.0  
0.0 5:1 62608:1  50581:1.0  
0.0 5:1 62645:1  50581:1.0  
0.0 5:1 63312:1  50581:1.0  
0.0 5:1 63377:1  50581:1.0  
0.0 5:1 63395:1  50581:1.0  
0.0 5:1 63518:1  50581:1.0  
0.0 5:1 63676:1  50581:1.0  
0.0 5:1 64062:1  50581:1.0  
0.0 5:1 64371:1  50581:1.0  
0.0 5:1 64430:1  50581:1.0  
0.0 5:1 64614:1  50581:1.0  
0.0 5:1 64643:1  50581:1.0  
0.0 5:1 64767:1  50581:1.0  
0.0 5:1 65053:1  50581:1.0  
0.0 6:1 46188:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46216:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46274:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46389:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46501:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46658:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46759:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46822:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46882:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46926:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 46935:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47002:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47041:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47059:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47208:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47246:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47445:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47500:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47539:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47544:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47582:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47675:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47856:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47961:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 47970:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48095:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48148:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48178:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48446:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48449:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48759:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 48843:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49019:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49039:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49092:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49095:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49146:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49383:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49516:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49570:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49624:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49933:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49973:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 49980:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 50002:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 50500:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 50561:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 50704:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51345:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51421:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51480:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51548:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51580:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51661:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51662:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51730:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51768:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 51981:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 52081:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 52132:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 52519:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 52616:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 52618:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53004:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53104:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53309:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53334:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53391:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53715:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53731:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53742:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53909:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53913:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 53957:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54054:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54060:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54095:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54105:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54126:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54131:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54223:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54397:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54688:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 54871:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 55322:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 55453:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 55507:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 55635:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 56116:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 56353:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 56380:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 56399:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 56561:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 56634:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57017:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57070:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57088:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57258:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57259:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57319:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57507:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 57543:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58035:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58146:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58228:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58332:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58366:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58402:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58403:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 58526:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
0.0 6:1 59002:1  45939:0.408248290464 49156:0.408248290464 48308:0.408248290464 54599:0.408248290464 57832:0.408248290464 60368:0.408248290464  
